Titre,Texte,text,language,clean_text
Tres bonne qualiter,Pas chere et de bonne qualiter,Tres bonne qualiter Pas chere et de bonne qualiter,fr,tres bonne qualiter chere bonne qualiter
Livraison rapide,"Livraison rapide, je commande souvent sur shein depuis des années et je vois nettement l’amélioration sur la qualité des produits et du temps de livraison. Ainsi que les prix qui eux n’augmentent pas et avec toutes les promos je me sens tjrs gagnante","Livraison rapide Livraison rapide, je commande souvent sur shein depuis des années et je vois nettement l’amélioration sur la qualité des produits et du temps de livraison. Ainsi que les prix qui eux n’augmentent pas et avec toutes les promos je me sens tjrs gagnante",fr,livraison rapide livraison rapide commande souvent shein depuis années vois nettement ’ amélioration qualité produits temps livraison ainsi prix ’ augmentent toutes promos sens tjrs gagnante
"Colis souvent abîmé déchiqueté ,ou…","Colis souvent abîmé déchiqueté ,ou troué ,collant déchiré ,
Voilà 15 mois que je commande régulièrement chaque mois il faudrait emballer les produits les plus fragiles et parfois la commande n est pas complète cela m est arrivée deux fois déjà c est la première fois que l on me demande mon opinion merci pour cela cordialement","Colis souvent abîmé déchiqueté ,ou… Colis souvent abîmé déchiqueté ,ou troué ,collant déchiré ,
Voilà 15 mois que je commande régulièrement chaque mois il faudrait emballer les produits les plus fragiles et parfois la commande n est pas complète cela m est arrivée deux fois déjà c est la première fois que l on me demande mon opinion merci pour cela cordialement",fr,colis souvent abîmé déchiqueté ou… colis souvent abîmé déchiqueté troué collant déchiré voilà 15 mois commande régulièrement chaque mois faudrait emballer produits plus fragiles parfois commande complète cela arrivée deux fois déjà première fois demande opinion merci cela cordialement
Vêtements et chaussure fidèle à la…,Vêtements et chaussure fidèle à la photo,Vêtements et chaussure fidèle à la… Vêtements et chaussure fidèle à la photo,fr,vêtements chaussure fidèle la… vêtements chaussure fidèle photo
Colis bien reçu,"Colis bien reçu, une chemisette est toute chiffonnée","Colis bien reçu Colis bien reçu, une chemisette est toute chiffonnée",fr,colis bien reçu colis bien reçu chemisette toute chiffonnée
Les vêtements sont parfois trop courts…,"Les vêtements sont parfois trop courts ou trop petits, tout dépend des tailles, voire transparent","Les vêtements sont parfois trop courts… Les vêtements sont parfois trop courts ou trop petits, tout dépend des tailles, voire transparent",fr,vêtements parfois trop courts… vêtements parfois trop courts trop petits tout dépend tailles voire transparent
Commande conforme livraison rapide,"Commande reçue rapidement, conforme à ce que j’attendais 😊","Commande conforme livraison rapide Commande reçue rapidement, conforme à ce que j’attendais 😊",fr,commande conforme livraison rapide commande reçue rapidement conforme ’ attendais 😊
Grâce à SHEIN je fais des économies et…,"Grâce à SHEIN je fais des économies et surtout je trouve tout à de prix raisonnable.
En plus ils y’as tout le catégorie un large choix de produits au top et toujours à des prix abordables.","Grâce à SHEIN je fais des économies et… Grâce à SHEIN je fais des économies et surtout je trouve tout à de prix raisonnable.
En plus ils y’as tout le catégorie un large choix de produits au top et toujours à des prix abordables.",fr,grâce shein fais économies et… grâce shein fais économies surtout trouve tout prix raisonnable plus ’ tout catégorie large choix produits top toujours prix abordables
Super contente ❤️,"Très bonne expérience, j'ai rapidement reçu ma commande, les articles sont de bonne qualité, merci","Super contente ❤️ Très bonne expérience, j'ai rapidement reçu ma commande, les articles sont de bonne qualité, merci",fr,super contente ❤️ très bonne expérience jai rapidement reçu commande articles bonne qualité merci
Bon prix beaucoup de choix très bon…,Bon prix beaucoup de choix très bon rapport qualité prix,Bon prix beaucoup de choix très bon… Bon prix beaucoup de choix très bon rapport qualité prix,fr,bon prix beaucoup choix très bon… bon prix beaucoup choix très bon rapport qualité prix
Produit parfait,Produit parfait! 👍,Produit parfait Produit parfait! 👍,fr,produit parfait produit parfait 👍
C’était parfait.,C’était parfait.,C’était parfait. C’était parfait.,fr,’ parfait ’ parfait
Meilleur articles,Leur articles sont fiable et de bonne qualité,Meilleur articles Leur articles sont fiable et de bonne qualité,fr,meilleur articles articles fiable bonne qualité
Toujours au top livraison arrivée en…,Toujours au top livraison arrivée en avance c'est parfait!!!,Toujours au top livraison arrivée en… Toujours au top livraison arrivée en avance c'est parfait!!!,fr,toujours top livraison arrivée en… toujours top livraison arrivée avance cest parfait
Vraiment juste waou les vêtements sont…,Vraiment juste waou les vêtements sont plus que jolie ma fille super exité pour le mettre merci shein,Vraiment juste waou les vêtements sont… Vraiment juste waou les vêtements sont plus que jolie ma fille super exité pour le mettre merci shein,fr,vraiment juste waou vêtements sont… vraiment juste waou vêtements plus jolie fille super exité mettre merci shein
Commande reçu à moitié,Jusqu'à maintenant j étais très satisfaite de Shein sauf que la je suis vraiment dessus car j ai commandé un meuble avec cette commande et la on me dit qu il est livré alors que je ne l ai pas le service client ne veut rien savoir et ne veulent rien rembourser où me renvoyer je vais pas laisser ça comme ça vraiment très déçu du service client le meuble coûtait 309 euros je sais même pas si je recommanderai un jour 😡,Commande reçu à moitié Jusqu'à maintenant j étais très satisfaite de Shein sauf que la je suis vraiment dessus car j ai commandé un meuble avec cette commande et la on me dit qu il est livré alors que je ne l ai pas le service client ne veut rien savoir et ne veulent rien rembourser où me renvoyer je vais pas laisser ça comme ça vraiment très déçu du service client le meuble coûtait 309 euros je sais même pas si je recommanderai un jour 😡,fr,commande reçu moitié jusquà maintenant très satisfaite shein sauf vraiment dessus car commandé meuble cette commande dit livré alors service client veut rien savoir veulent rien rembourser où renvoyer vais laisser ça comme ça vraiment très déçu service client meuble coûtait 309 euros sais si recommanderai jour 😡
Service clients compréhensif et rapide,"Même si j'ai étais déçu sur un produit, le service client compréhensif et service rapide.je continuerai à faire mes commandes sur shein","Service clients compréhensif et rapide Même si j'ai étais déçu sur un produit, le service client compréhensif et service rapide.je continuerai à faire mes commandes sur shein",fr,service clients compréhensif rapide si jai déçu produit service client compréhensif service rapideje continuerai faire commandes shein
"Colis non reçu, SHEIN ne veulent pas me rembourser","Colis non reçu, le transporteur à contacter SHEIN mais SHEIN ne veulent pas me rembourser
Je bataille depuis + de 3 mois déjà
Mondial relay (le transporteur) ont même contacter SHEIN et m’ont envoyer plusieurs mails me confirmant que le colis n’a pas été livré que c’est une erreur du livreur , shein sont au courant mais ne veulent rien savoir ils me disent que ça a été livré donc ils remboursent pas, malgré les captures d’écrans envoyer, tout les mails etc… Mondial relay a rembourser shein le 8 février , j’attend mon remboursement. Le colis a été perdu le 7 janvier
Très très déçue de SHEIN","Colis non reçu, SHEIN ne veulent pas me rembourser Colis non reçu, le transporteur à contacter SHEIN mais SHEIN ne veulent pas me rembourser
Je bataille depuis + de 3 mois déjà
Mondial relay (le transporteur) ont même contacter SHEIN et m’ont envoyer plusieurs mails me confirmant que le colis n’a pas été livré que c’est une erreur du livreur , shein sont au courant mais ne veulent rien savoir ils me disent que ça a été livré donc ils remboursent pas, malgré les captures d’écrans envoyer, tout les mails etc… Mondial relay a rembourser shein le 8 février , j’attend mon remboursement. Le colis a été perdu le 7 janvier
Très très déçue de SHEIN",fr,colis non reçu shein veulent rembourser colis non reçu transporteur contacter shein shein veulent rembourser bataille depuis 3 mois déjà mondial relay transporteur contacter shein ’ envoyer plusieurs mails confirmant colis ’ a livré ’ erreur livreur shein courant veulent rien savoir disent ça livré donc remboursent malgré captures ’ écrans envoyer tout mails etc… mondial relay rembourser shein 8 février ’ attend remboursement colis perdu 7 janvier très très déçue shein
Osez l'achat,Toujours des bonnes choses un délai parfait,Osez l'achat Toujours des bonnes choses un délai parfait,fr,osez lachat toujours bonnes choses délai parfait
Il manque 1 article et 3 article ne…,Il manque 1 article et 3 article ne vont pas malgré la prise de mesure ́,Il manque 1 article et 3 article ne… Il manque 1 article et 3 article ne vont pas malgré la prise de mesure ́,fr,manque 1 article 3 article ne… manque 1 article 3 article vont malgré prise mesure ́
Livraison rapide avec délai respecté,"Livraison rapide avec délai respecté. Prix très intéressants, tous les articles disponibles, promotions, emballages parfaits. Des produits de qualité par rapport aux prix. Je suis très satisfaite.","Livraison rapide avec délai respecté Livraison rapide avec délai respecté. Prix très intéressants, tous les articles disponibles, promotions, emballages parfaits. Des produits de qualité par rapport aux prix. Je suis très satisfaite.",fr,livraison rapide délai respecté livraison rapide délai respecté prix très intéressants tous articles disponibles promotions emballages parfaits produits qualité rapport prix très satisfaite
Pièces dans le colis cassés,Pièces dans le colis cassés,Pièces dans le colis cassés Pièces dans le colis cassés,fr,pièces colis cassés pièces colis cassés
Satisfaite,"Délais respectés,meilleure communication, meilleur suivi remboursement,et plus rapide et meilleur suivi coli.
C est top!
Merci","Satisfaite Délais respectés,meilleure communication, meilleur suivi remboursement,et plus rapide et meilleur suivi coli.
C est top!
Merci",fr,satisfaite délais respectésmeilleure communication meilleur suivi remboursementet plus rapide meilleur suivi coli top merci
Merci pour ces beaux articles.,Merci pour ces beaux articles.,Merci pour ces beaux articles. Merci pour ces beaux articles.,fr,merci beaux articles merci beaux articles
J’aime bien,J’aime bien. Les prix sont accessibles,J’aime bien J’aime bien. Les prix sont accessibles,fr,’ aime bien ’ aime bien prix accessibles
Super rien à dire,Date de l'expérience: 15 mars 2025,Super rien à dire Date de l'expérience: 15 mars 2025,fr,super rien dire date lexpérience 15 mars 2025
Tout pour se faire plaisir !,"Sur SHEIN on peut vraiment trouver de tout. Que se soit des vêtements, décoration, objet pour la cuisine ou autre , il y a un large choix à prix raisonnable et qualité plutôt bonne. Je recommande !","Tout pour se faire plaisir ! Sur SHEIN on peut vraiment trouver de tout. Que se soit des vêtements, décoration, objet pour la cuisine ou autre , il y a un large choix à prix raisonnable et qualité plutôt bonne. Je recommande !",fr,tout faire plaisir shein peut vraiment trouver tout vêtements décoration objet cuisine autre a large choix prix raisonnable qualité plutôt bonne recommande
Merci Shein,"Produits conformes aux photos, et reçus avant la date de livraison prévue. J aime bien ce site ou l'on peut trouver tout ce que l on cherche à des prix très raisonnables.","Merci Shein Produits conformes aux photos, et reçus avant la date de livraison prévue. J aime bien ce site ou l'on peut trouver tout ce que l on cherche à des prix très raisonnables.",fr,merci shein produits conformes photos reçus avant date livraison prévue aime bien site lon peut trouver tout cherche prix très raisonnables
livraison rapide,Date de l'expérience: 01 mars 2025,livraison rapide Date de l'expérience: 01 mars 2025,fr,livraison rapide date lexpérience 01 mars 2025
حلوة كتير حبييييت,حلوة كتير حبييييت,حلوة كتير حبييييت حلوة كتير حبييييت,fr,حلوة كتير حبييييت حلوة كتير حبييييت
Top parfait dans l’ensemble,Top parfait dans l’ensemble,Top parfait dans l’ensemble Top parfait dans l’ensemble,fr,top parfait ’ ensemble top parfait ’ ensemble
Parfait livraison rapide et toujours…,Parfait livraison rapide et toujours des prix bas,Parfait livraison rapide et toujours… Parfait livraison rapide et toujours des prix bas,fr,parfait livraison rapide toujours… parfait livraison rapide toujours prix bas
"Tous les articles étais déformée,et…","Tous les articles étais déformée,et j'ai reçu un article cassé","Tous les articles étais déformée,et… Tous les articles étais déformée,et j'ai reçu un article cassé",fr,tous articles déforméeet… tous articles déforméeet jai reçu article cassé
Top RAS,"Trop bon rapport qualité prix, pas de problème","Top RAS Trop bon rapport qualité prix, pas de problème",fr,top ras trop bon rapport qualité prix problème
Très bien merci,En temps et en heure tous les articles sont de très bonne taille,Très bien merci En temps et en heure tous les articles sont de très bonne taille,fr,très bien merci temps heure tous articles très bonne taille
Je ne comprends pas j ai fais une…,Je ne comprends pas j ai fais une commande j ai commandé un eye-liner et son pinceau je n ai reçu que l eye-liner comment ne peuvent ils pas voir que le pinceau a manqué dans le colis ils me répondent qu ils ne manquaient rien je suis déçue pour un pinceau dommage,Je ne comprends pas j ai fais une… Je ne comprends pas j ai fais une commande j ai commandé un eye-liner et son pinceau je n ai reçu que l eye-liner comment ne peuvent ils pas voir que le pinceau a manqué dans le colis ils me répondent qu ils ne manquaient rien je suis déçue pour un pinceau dommage,fr,comprends fais une… comprends fais commande commandé eyeliner pinceau reçu eyeliner comment peuvent voir pinceau manqué colis répondent manquaient rien déçue pinceau dommage
Toujours satisfaite avec chein et ma…,Toujours satisfaite avec chein et ma commande est arrivée plus tôt que prévu merci.et la matière niquel je vous recommande,Toujours satisfaite avec chein et ma… Toujours satisfaite avec chein et ma commande est arrivée plus tôt que prévu merci.et la matière niquel je vous recommande,fr,toujours satisfaite chein ma… toujours satisfaite chein commande arrivée plus tôt prévu merciet matière niquel recommande
J'adore ce site,"J'adore ce site
Les habits sont top et les bijoux aussi
C'est pas cher et efficace","J'adore ce site J'adore ce site
Les habits sont top et les bijoux aussi
C'est pas cher et efficace",fr,jadore site jadore site habits top bijoux aussi cest cher efficace
Satisfaite,Date de l'expérience: 15 mars 2025,Satisfaite Date de l'expérience: 15 mars 2025,fr,satisfaite date lexpérience 15 mars 2025
Il manque des pièces et des pièces sont…,Il manque des pièces et des pièces sont abîmés impossible de finir la construction,Il manque des pièces et des pièces sont… Il manque des pièces et des pièces sont abîmés impossible de finir la construction,fr,manque pièces pièces sont… manque pièces pièces abîmés impossible finir construction
Pluôt satisfaite en général,Pluôt satisfaite en général! mais régulièrement une déception dans mes commandes soit par la taille sois par la coupe,Pluôt satisfaite en général Pluôt satisfaite en général! mais régulièrement une déception dans mes commandes soit par la taille sois par la coupe,fr,pluôt satisfaite général pluôt satisfaite général régulièrement déception commandes taille coupe
livraison rapide,"livraison rapide, conforme à la commande.","livraison rapide livraison rapide, conforme à la commande.",fr,livraison rapide livraison rapide conforme commande
sérieux,"Très sérieux, livraison et services clients rapide, des produits pas chers et merveilleux
Depuis que j'ai découvert shein, je vais plus aux magasins,
Depuis 5 ans je perds pas de temps pour les magasins","sérieux Très sérieux, livraison et services clients rapide, des produits pas chers et merveilleux
Depuis que j'ai découvert shein, je vais plus aux magasins,
Depuis 5 ans je perds pas de temps pour les magasins",fr,sérieux très sérieux livraison services clients rapide produits chers merveilleux depuis jai découvert shein vais plus magasins depuis 5 ans perds temps magasins
Je suis ravie de mes articles :,"Je suis ravie de mes articles :
Bonne coupe et bonne qualité
C'est parfait 👍","Je suis ravie de mes articles : Je suis ravie de mes articles :
Bonne coupe et bonne qualité
C'est parfait 👍",fr,ravie articles ravie articles bonne coupe bonne qualité cest parfait 👍
Je recommande Shein,"Les produits shein sont en majorité de bonne qualité, avec beaucoup de choix de styles pour des prix abordables.
La livraison par contre est un peu longue et dernièrement un colis shein noté livré ne l'a jamais été.","Je recommande Shein Les produits shein sont en majorité de bonne qualité, avec beaucoup de choix de styles pour des prix abordables.
La livraison par contre est un peu longue et dernièrement un colis shein noté livré ne l'a jamais été.",fr,recommande shein produits shein majorité bonne qualité beaucoup choix styles prix abordables livraison contre peu longue dernièrement colis shein noté livré jamais
J'adore les produits sa fait plu de…,J'adore les produits sa fait plu de 4ans que je commande et j'en suis satisfaite,J'adore les produits sa fait plu de… J'adore les produits sa fait plu de 4ans que je commande et j'en suis satisfaite,fr,jadore produits fait plu de… jadore produits fait plu 4ans commande jen satisfaite
Toujours ravi de nos commandes Shein,"Toujours ravi de nos commandes Shein. Les articles sont généralement à la hauteur de nos attentes. Et le temps de livraison est largement respecté. Prix intéressant.
Nous recommandons Shein à 100%","Toujours ravi de nos commandes Shein Toujours ravi de nos commandes Shein. Les articles sont généralement à la hauteur de nos attentes. Et le temps de livraison est largement respecté. Prix intéressant.
Nous recommandons Shein à 100%",fr,toujours ravi commandes shein toujours ravi commandes shein articles généralement hauteur attentes temps livraison largement respecté prix intéressant recommandons shein 100
Super livraison au top .rien de négatif…,Super livraison au top .rien de négatif merci shein.,Super livraison au top .rien de négatif… Super livraison au top .rien de négatif merci shein.,fr,super livraison top rien négatif… super livraison top rien négatif merci shein
Je n’ai jamais reçu ma commande et je…,Je n’ai jamais reçu ma commande et je n’ai pas été remboursé de tous les articles.,Je n’ai jamais reçu ma commande et je… Je n’ai jamais reçu ma commande et je n’ai pas été remboursé de tous les articles.,fr,’ jamais reçu commande je… ’ jamais reçu commande ’ remboursé tous articles
Commande nickel,Parfait rapide et correspond à la description. Cliente et encore pour longtemps.,Commande nickel Parfait rapide et correspond à la description. Cliente et encore pour longtemps.,fr,commande nickel parfait rapide correspond description cliente encore longtemps
le bien et le mal,Il y a du choix les prix corrects mais les frais d'envoi un peu élevés et la livraison longue.,le bien et le mal Il y a du choix les prix corrects mais les frais d'envoi un peu élevés et la livraison longue.,fr,bien mal a choix prix corrects frais denvoi peu élevés livraison longue
Parfait,Très bien. J'ai reçu ma commande rapidement.,Parfait Très bien. J'ai reçu ma commande rapidement.,fr,parfait très bien jai reçu commande rapidement
J'adore shein je commande souvent et de…,J'adore shein je commande souvent et de tout 😊,J'adore shein je commande souvent et de… J'adore shein je commande souvent et de tout 😊,fr,jadore shein commande souvent de… jadore shein commande souvent tout 😊
Envoi rapide bonne qualité prix très…,Envoi rapide bonne qualité prix très resonable par rapport au produit français recommande se site sans hésitation j'adore shein j'adore commander.,Envoi rapide bonne qualité prix très… Envoi rapide bonne qualité prix très resonable par rapport au produit français recommande se site sans hésitation j'adore shein j'adore commander.,fr,envoi rapide bonne qualité prix très… envoi rapide bonne qualité prix très resonable rapport produit français recommande site sans hésitation jadore shein jadore commander
Expérience très satisfaisante,"Expérience très satisfaisante ! Commandes livrées rapidement et toujours de qualité très satisfaisante pour un prix plus que correct ! Bien sûr un ou deux produits n’ont pas vraiment répondu à mon attente mais, vu leur prix, … je ne peux blâmer cette enseigne ! De nos jours je commande régulièrement et je constate des explications claires, des prise de mesures nickel (description de la taille impeccable) ! Je recommande cette enseigne !","Expérience très satisfaisante Expérience très satisfaisante ! Commandes livrées rapidement et toujours de qualité très satisfaisante pour un prix plus que correct ! Bien sûr un ou deux produits n’ont pas vraiment répondu à mon attente mais, vu leur prix, … je ne peux blâmer cette enseigne ! De nos jours je commande régulièrement et je constate des explications claires, des prise de mesures nickel (description de la taille impeccable) ! Je recommande cette enseigne !",fr,expérience très satisfaisante expérience très satisfaisante commandes livrées rapidement toujours qualité très satisfaisante prix plus correct bien sûr deux produits ’ vraiment répondu attente vu prix … peux blâmer cette enseigne jours commande régulièrement constate explications claires prise mesures nickel description taille impeccable recommande cette enseigne
"Très bon produits,à la portée de toutes…","Très bon produits,à la portée de toutes les bourses.!
Et la livraison est rapide et gratuite","Très bon produits,à la portée de toutes… Très bon produits,à la portée de toutes les bourses.!
Et la livraison est rapide et gratuite",fr,très bon produitsà portée toutes… très bon produitsà portée toutes bourses livraison rapide gratuite
Ca ete livret conrectement par contre i…,Ca ete livret conrectement par contre i faut bien emballez la commande sil vous plait,Ca ete livret conrectement par contre i… Ca ete livret conrectement par contre i faut bien emballez la commande sil vous plait,fr,ca ete livret conrectement contre i… ca ete livret conrectement contre faut bien emballez commande sil plait
Shein à utiliser avec bon sens,Grâce aux commentaires clients (les plus négatifs) je n'ai jamais eu de mauvaises surprises. Et quand j'ai reçu un produit sans avis clients et de mauvaise qualité j'ai toujours été remboursée dans les conditions indiquées. Pour éviter tous désagréments il faut bien lire toutes les indications même pour les offres de réduction ou les Jeux. Avec Shein il ne faut rien laisser au hasard sinon on pourrait être déçu.,Shein à utiliser avec bon sens Grâce aux commentaires clients (les plus négatifs) je n'ai jamais eu de mauvaises surprises. Et quand j'ai reçu un produit sans avis clients et de mauvaise qualité j'ai toujours été remboursée dans les conditions indiquées. Pour éviter tous désagréments il faut bien lire toutes les indications même pour les offres de réduction ou les Jeux. Avec Shein il ne faut rien laisser au hasard sinon on pourrait être déçu.,fr,shein utiliser bon sens grâce commentaires clients plus négatifs nai jamais mauvaises surprises quand jai reçu produit sans avis clients mauvaise qualité jai toujours remboursée conditions indiquées éviter tous désagréments faut bien lire toutes indications offres réduction jeux shein faut rien laisser hasard sinon pourrait être déçu
"Dégouté, déçu... à fuir","Total déçu. Colis marqué comme livré mais rien dans ma boîte aux lettres. Je contact le service client qui me dit qu'apparement après signature auprès du transporteur, mon colis a bien été livré donc impossible de rembourser. Je demande à voir la signature mais évidemment aucune réponse... et bien non puisque je n'ai rien signé... à l'intérieur, les cadeaux d'anniversaire de mon fils... bref à fuir. Aucune solution à mon problème alors que ce n'est pas là première fois que je commande. En tout cas se sera la dernière. Je vais bien évidemment expliquer cette histoire autour de moi afin que personne ne se fasse avoir.
Je suis totalement déçu","Dégouté, déçu... à fuir Total déçu. Colis marqué comme livré mais rien dans ma boîte aux lettres. Je contact le service client qui me dit qu'apparement après signature auprès du transporteur, mon colis a bien été livré donc impossible de rembourser. Je demande à voir la signature mais évidemment aucune réponse... et bien non puisque je n'ai rien signé... à l'intérieur, les cadeaux d'anniversaire de mon fils... bref à fuir. Aucune solution à mon problème alors que ce n'est pas là première fois que je commande. En tout cas se sera la dernière. Je vais bien évidemment expliquer cette histoire autour de moi afin que personne ne se fasse avoir.
Je suis totalement déçu",fr,dégouté déçu fuir total déçu colis marqué comme livré rien boîte lettres contact service client dit quapparement après signature auprès transporteur colis bien livré donc impossible rembourser demande voir signature évidemment aucune réponse bien non puisque nai rien signé lintérieur cadeaux danniversaire fils bref fuir aucune solution problème alors nest là première fois commande tout cas dernière vais bien évidemment expliquer cette histoire autour afin personne fasse avoir totalement déçu
Produits de qualité raisonnable par…,"Produits de qualité raisonnable par rapport à son prix
Bons produits fidèles à la photo","Produits de qualité raisonnable par… Produits de qualité raisonnable par rapport à son prix
Bons produits fidèles à la photo",fr,produits qualité raisonnable par… produits qualité raisonnable rapport prix bons produits fidèles photo
Un bon rapport qualité prix dans…,Un bon rapport qualité prix dans l'ensemble.,Un bon rapport qualité prix dans… Un bon rapport qualité prix dans l'ensemble.,fr,bon rapport qualité prix dans… bon rapport qualité prix lensemble
Super,Livraison parfait,Super Livraison parfait,fr,super livraison parfait
Elle son très belle les articles,Elle son très belle les articles,Elle son très belle les articles Elle son très belle les articles,fr,très belle articles très belle articles
Le livreur me casse ma boîte au lettres…,Le livreur me casse ma boîte au lettres et on me demande d'attendre. Du grand n'importe quoi fini les commandes sur ce site !!!,Le livreur me casse ma boîte au lettres… Le livreur me casse ma boîte au lettres et on me demande d'attendre. Du grand n'importe quoi fini les commandes sur ce site !!!,fr,livreur casse boîte lettres… livreur casse boîte lettres demande dattendre grand nimporte quoi fini commandes site
Toujours de nouveaux articles des prix…,"Toujours de nouveaux articles des prix intéressants et si ca plaît pas on renvoie facilement et gratuitement.
C top","Toujours de nouveaux articles des prix… Toujours de nouveaux articles des prix intéressants et si ca plaît pas on renvoie facilement et gratuitement.
C top",fr,toujours nouveaux articles prix… toujours nouveaux articles prix intéressants si ca plaît renvoie facilement gratuitement top
Les livraisons arrivent dans les temps,"Les livraisons arrivent dans les temps. Si défaut d'un article , le remboursement est immédiat. Les articles sont top","Les livraisons arrivent dans les temps Les livraisons arrivent dans les temps. Si défaut d'un article , le remboursement est immédiat. Les articles sont top",fr,livraisons arrivent temps livraisons arrivent temps si défaut dun article remboursement immédiat articles top
expérience parfait,expérience parfait,expérience parfait expérience parfait,fr,expérience parfait expérience parfait
Les délais de livraison sont très longs,Date de l'expérience: 14 mars 2025,Les délais de livraison sont très longs Date de l'expérience: 14 mars 2025,fr,délais livraison très longs date lexpérience 14 mars 2025
Parfait…,Livraison rapide et produits adaptés à mon attente.,Parfait… Livraison rapide et produits adaptés à mon attente.,fr,parfait… livraison rapide produits adaptés attente
Commande reçu rapidement les articles…,Commande reçu rapidement les articles correspondent bien bonne qualité,Commande reçu rapidement les articles… Commande reçu rapidement les articles correspondent bien bonne qualité,fr,commande reçu rapidement articles… commande reçu rapidement articles correspondent bien bonne qualité
Produits conformes à mes attentes et de…,Produits conformes à mes attentes et de bonnes qualités,Produits conformes à mes attentes et de… Produits conformes à mes attentes et de bonnes qualités,fr,produits conformes attentes de… produits conformes attentes bonnes qualités
"choix de produits,en plusieures tailles…","choix de produits,en plusieures tailles ,pas trop chers,livraison rapide","choix de produits,en plusieures tailles… choix de produits,en plusieures tailles ,pas trop chers,livraison rapide",fr,choix produitsen plusieures tailles… choix produitsen plusieures tailles trop cherslivraison rapide
Trés bonne taille trés satisfaite,vétement très bien bonne taille,Trés bonne taille trés satisfaite vétement très bien bonne taille,fr,trés bonne taille trés satisfaite vétement très bien bonne taille
Très bon produits,"Très bon produits
Très satisfaite de vos services
Commande arrivé Très rapidement","Très bon produits Très bon produits
Très satisfaite de vos services
Commande arrivé Très rapidement",fr,très bon produits très bon produits très satisfaite services commande arrivé très rapidement
Aucune réponse à mes problèmes je suis…,Aucune réponse à mes problèmes je suis vraiment déçu j’ai commandé beaucoup sur SHEIN mais pour moi c’est fini je n’ai plus accès à mon compte et j’avais fait une commande de 200euros et j’ai même pas pu faire de retour .. bref dommage vous avez perdu un bonne cliente à cause du service client,Aucune réponse à mes problèmes je suis… Aucune réponse à mes problèmes je suis vraiment déçu j’ai commandé beaucoup sur SHEIN mais pour moi c’est fini je n’ai plus accès à mon compte et j’avais fait une commande de 200euros et j’ai même pas pu faire de retour .. bref dommage vous avez perdu un bonne cliente à cause du service client,fr,aucune réponse problèmes suis… aucune réponse problèmes vraiment déçu ’ commandé beaucoup shein ’ fini ’ plus accès compte ’ fait commande 200euros ’ pu faire retour bref dommage perdu bonne cliente cause service client
Je commande depuis quelques temps…,Je commande depuis quelques temps maintenant. J apprécie tout le choix de produits mis à disposition je trouve les produits peu chers par rapport à d’autres sites. Les produits sont toujours très bien emballés. Et ils organisent des jeux gratuits avec cadeaux,Je commande depuis quelques temps… Je commande depuis quelques temps maintenant. J apprécie tout le choix de produits mis à disposition je trouve les produits peu chers par rapport à d’autres sites. Les produits sont toujours très bien emballés. Et ils organisent des jeux gratuits avec cadeaux,fr,commande depuis quelques temps… commande depuis quelques temps maintenant apprécie tout choix produits mis disposition trouve produits peu chers rapport ’ autres sites produits toujours très bien emballés organisent jeux gratuits cadeaux
J’adore les vêtements,J’adore les vêtements,J’adore les vêtements J’adore les vêtements,fr,’ adore vêtements ’ adore vêtements
Objet,Très bonne experience,Objet Très bonne experience,fr,objet très bonne experience
Shein l'ideal mode,"Jamais déçu des articles . Taille très bien, original et identique aux photos","Shein l'ideal mode Jamais déçu des articles . Taille très bien, original et identique aux photos",fr,shein lideal mode jamais déçu articles taille très bien original identique photos
"bonjour,","bonjour,
un article était défectueux et aucune nouvelle très déçu.","bonjour, bonjour,
un article était défectueux et aucune nouvelle très déçu.",fr,bonjour bonjour article défectueux aucune nouvelle très déçu
Des articles à prix correct et qui sont…,Des articles à prix correct et qui sont pratique,Des articles à prix correct et qui sont… Des articles à prix correct et qui sont pratique,fr,articles prix correct sont… articles prix correct pratique
👍Shein c'est super,"Ça fait des années que je commande sur Shein et très rarement déçue
Un grand choix dans toutes les catégories avec des prix attractifs et une livraison plutôt rapide","👍Shein c'est super Ça fait des années que je commande sur Shein et très rarement déçue
Un grand choix dans toutes les catégories avec des prix attractifs et une livraison plutôt rapide",fr,👍shein cest super ça fait années commande shein très rarement déçue grand choix toutes catégories prix attractifs livraison plutôt rapide
Je suis satisfaite des produits…,"Je suis satisfaite des produits commandés. Pas d'odeur, taille correcte sauf un pull qui tout d'un coup taille plus petit que reste. La livraison était conforme.","Je suis satisfaite des produits… Je suis satisfaite des produits commandés. Pas d'odeur, taille correcte sauf un pull qui tout d'un coup taille plus petit que reste. La livraison était conforme.",fr,satisfaite produits… satisfaite produits commandés dodeur taille correcte sauf pull tout dun coup taille plus petit reste livraison conforme
Satisfaite des articles,Il y a de bons articles de bonnes qualités et à des prix qui sont dans mon budget.,Satisfaite des articles Il y a de bons articles de bonnes qualités et à des prix qui sont dans mon budget.,fr,satisfaite articles a bons articles bonnes qualités prix budget
Très bien l’expédition,"Très bien l’expédition, mais le problème c’est souvent des livreurs une fois on m’a perdu mon colis et là je l’ai pas reçu","Très bien l’expédition Très bien l’expédition, mais le problème c’est souvent des livreurs une fois on m’a perdu mon colis et là je l’ai pas reçu",fr,très bien ’ expédition très bien ’ expédition problème ’ souvent livreurs fois ’ a perdu colis là ’ reçu
